num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,ann_wit_ratio,ann_diff,wit_diff,ann_roll_std,wit_roll_std
807,171,5.915737298636927,21.0,2.241401064397815,18,151,978,4.691860465116279,-979.0,31.0,547.1693827998686,18.823743871327743
2966,212,5.516183412002698,21.0,2.693034595490696,38,52,3178,13.924882629107982,-3884.0,-823.0,2545.36127101847,476.6092039960686
289,76,6.221453287197232,15.0,2.584105655774441,10,60,365,3.7532467532467533,96.0,4.0,49.65212456770419,24.33105012119221
17833,438,3.8069870464868494,18.0,1.786094462109583,76,131,18271,40.62186788154897,9733.0,-773.0,5514.285659386888,501.86884076798657
1610,332,4.760248447204969,16.0,2.23821355957692,60,70,1942,4.834834834834835,-1194.0,-562.0,933.0578761069248,289.00519026488803
2834,1107,5.075864502470007,15.0,1.5833342889932676,12,1094,3941,2.5577617328519855,1759.0,1035.0,908.9493936079613,535.2105504690031
366,48,6.909836065573771,17.0,3.6544847028098033,12,27,414,7.469387755102041,36.0,-65.0,41.101502090042075,39.37427248005156
326,65,5.849693251533743,15.0,2.111635142109081,17,44,391,4.9393939393939394,-372.0,-134.0,5861.902194123761,81.05142400558653
313,44,5.3706070287539935,15.0,1.641134167810697,7,33,357,6.955555555555556,-545.0,-139.0,284.81631532261406,77.02164198024742
4226,948,5.094178892569806,15.0,1.407716278537929,135,203,5174,4.453108535300316,-206.0,80.0,1192.0676715369455,208.8260839390845
2042,456,5.243388834476004,11.0,1.1697366851008928,105,128,2498,4.468271334792123,487.0,59.0,711.2624926670217,211.9300198965286
1663,458,5.3517739025856885,16.0,1.9539515856721104,138,284,2121,3.6230936819172115,531.0,200.0,774.6678859185737,100.42576030746021
271,52,6.180811808118081,14.0,2.215460787204135,12,31,323,5.113207547169812,-54.0,-19.0,36.29049655801703,10.21436896402438
2480,326,5.109677419354838,16.0,2.2068595170965897,68,125,2806,7.584097859327217,62.0,51.0,617.388856395934,25.514701652807783
1420,210,4.524647887323944,13.0,1.4515987601688372,29,52,1630,6.729857819905213,-1608.0,-365.0,2232.3154646014937,229.31710213882286
3773,816,5.455870659952293,14.0,1.9339684303128144,157,203,4589,4.618115055079559,1140.0,-272.0,683.7192407613924,221.12741425069137
6019,1217,5.087223791327463,16.0,1.4913611515408165,215,260,7236,4.941707717569787,-1025.0,213.0,613.6255645927123,183.81784461798884
4713,813,5.054530023339699,24.0,1.3900762056146487,139,175,5526,5.7899262899262895,-5846.0,-1813.0,2980.484748077151,927.571560581203
1719,193,5.408958696916812,16.0,2.6920154314615576,35,48,1912,8.860824742268042,321.0,-86.0,208.86438981896302,43.03486958771367
381,119,6.081364829396326,12.0,2.122543471441599,25,69,500,3.175,-90.0,44.0,158.9245108240045,34.93326972004501
2393,427,4.747179272879231,15.0,1.8329805171639229,80,95,2820,5.591121495327103,-806.0,-175.0,582.7143382487546,170.51979357206474
1745,466,5.198280802292263,17.0,2.49760858028044,67,94,2211,3.73661670235546,369.0,-12.0,546.7763103175555,13.527749258456826
7468,2130,5.117300482056776,13.0,1.3074118556418757,254,343,9598,3.5044580009385267,2714.0,909.0,2580.177513270639,892.0539968715594
722,119,6.678670360110804,16.0,2.4036708778702374,16,98,841,6.016666666666667,58.0,47.0,30.265494223859104,57.81868210189584
14258,1981,5.112287838406509,16.0,1.2459846342169192,154,1199,16239,7.193743693239153,3121.0,128.0,6606.222395099678,962.2641702429404
1282,145,5.253510140405616,16.0,2.9207698326406666,29,55,1427,8.780821917808218,-477.0,-88.0,1146.5823128703043,175.35107641545082
1930,250,6.37720207253886,18.0,3.0802224611128155,43,85,2180,7.6892430278884465,86.0,-245.0,322.1573114712185,123.12730539472372
1000,248,4.619,14.0,1.885693241224564,52,67,1248,4.016064257028113,-560.0,-2.0,1368.97053778526,189.3735285983928
861,189,5.746806039488966,17.0,2.688817060600411,32,68,1050,4.531578947368421,-735.0,-41.0,597.7293144340252,64.26766942845892
7660,1066,5.072323759791122,17.0,2.110768506090214,270,316,8726,7.179006560449859,1513.0,569.0,2378.3612706071963,333.5281097590341
208,40,5.538461538461538,18.0,2.8920417226319173,6,31,248,5.073170731707317,-76.0,-46.0,81.05142487402948,25.006665778014753
1671,346,5.575104727707959,18.0,2.802529886053281,51,78,2017,4.815561959654179,-587.0,107.0,303.0165012025774,54.24327915756116
281,185,6.231316725978648,11.0,2.2887349166956263,81,104,466,1.510752688172043,3.0,82.0,67.27803115075827,47.93050524805002
168,34,5.047619047619048,12.0,1.7888860720249369,2,31,202,4.8,-49.0,6.0,90.27919734876512,6.506407098647712
3158,307,4.912919569347689,18.0,1.9215992456914608,57,115,3465,10.253246753246753,205.0,-141.0,188.74056317464726,84.44130111024029
1704,198,4.946009389671362,17.0,2.560653074691283,34,65,1902,8.56281407035176,466.0,-17.0,400.40104895079355,33.70954365359694
1243,202,5.3161705551086085,25.0,3.2013101918374423,34,63,1445,6.123152709359606,-4214.0,-290.0,5861.598843335126,671.1433031278309
788,70,4.373096446700508,24.0,2.097348351478433,11,54,858,11.098591549295774,402.0,-29.0,249.8346122406648,15.307950004273417
1600,203,5.085625,15.0,2.090345272765961,28,56,1803,7.8431372549019605,-765.0,33.0,382.54803620073795,21.361959970109343
1741,293,5.118322802986789,18.0,1.965180166274546,48,96,2034,5.921768707482993,-550.0,4.0,287.46014249643844,12.858200977545083
7155,373,5.329559748427673,15.0,1.9703922397243232,43,227,7528,19.13101604278075,4538.0,-7.0,2923.8512844078646,59.28181284984483
669,132,5.6158445440956655,17.0,2.202143285319352,15,114,801,5.030075187969925,163.0,77.0,84.03769079403811,42.09908945960223
3929,444,4.537795876813439,14.0,1.439245343979355,22,418,4373,8.829213483146068,3059.0,130.0,1936.9678194212665,136.04411049361894
2485,49,3.8301810865191146,16.0,1.907133323205093,12,36,2534,49.7,2337.0,14.0,1352.4541890481457,9.451631252503496
1852,352,5.382289416846652,16.0,1.873905597509148,65,87,2204,5.246458923512748,-652.0,177.0,376.14403268133,197.85432351556597
2390,351,4.457740585774059,16.0,1.5811694997999313,45,119,2741,6.7897727272727275,524.0,85.0,283.3731344192195,43.82160807852255
1716,317,5.161421911421911,25.0,2.322521504028772,75,100,2033,5.39622641509434,-33953.0,-23.0,49369.80375695414,18.23001188515939
1048,602,6.956106870229007,21.0,1.6771877919130325,141,451,1650,1.7379767827529022,-1397.0,487.0,1019.6059697125636,270.8671260969018
2236,254,5.761180679785331,15.0,2.4469752862326843,47,67,2490,8.768627450980393,264.0,-146.0,276.08694282968327,74.19793348716219
654,149,4.674311926605505,13.0,1.671687440774647,26,35,803,4.36,-683.0,-191.0,802.3243318788158,99.85155648928634
1687,248,4.983402489626556,19.0,1.9817686037677047,40,60,1935,6.775100401606426,-390.0,17.0,577.7655235390691,152.94552407094488
393,47,5.376590330788804,14.0,1.5335639535412804,7,40,440,8.1875,-28.0,-24.0,29.005748982203798,21.54839514519508
6008,539,5.295272969374167,19.0,2.217087501521422,99,189,6547,11.125925925925927,88.0,117.0,112.8538884637393,95.84536156628884
1686,360,4.565243179122183,15.0,1.8814703700664688,53,101,2046,4.670360110803324,-1209.0,176.0,839.7124507831826,88.18919057211554
2406,150,4.688279301745636,16.0,1.555326230277442,39,53,2556,15.933774834437086,318.0,-189.0,469.4209200535871,95.63994981177792
643,127,6.074650077760498,15.0,2.1687791737784368,41,68,770,5.0234375,241.0,16.0,169.10647575017362,16.000000000002736
374,73,6.286096256684492,15.0,2.1095578905089205,21,46,447,5.054054054054054,33.0,-38.0,42.85246169697493,20.42873792805753
3355,256,4.116244411326378,17.0,1.804834101518416,75,94,3611,13.054474708171206,2077.0,-104.0,1239.020715534517,264.3942762852087
3127,304,4.801407099456348,13.0,1.3996291948936757,52,116,3431,10.252459016393443,-98.0,-14.0,99.50376970961096,35.90728802613467
321,56,5.479750778816199,13.0,2.009415826256705,12,38,377,5.631578947368421,-154.0,-6.0,131.67130846826666,10.263202878905137
2902,837,5.354927636113025,15.0,2.567115942888595,164,180,3739,3.4630071599045347,50.0,359.0,587.6972009361749,274.4090620475253
323,160,5.860681114551084,16.0,1.992812666173285,45,82,483,2.0062111801242235,-827.0,-371.0,472.0794426159222,186.33392963530122
362,90,5.3646408839779,18.0,2.058446689032332,23,63,452,3.978021978021978,-215.0,33.0,108.14958841359989,23.713568549106053
9502,494,4.375920858766576,15.0,1.804284369240574,105,144,9996,19.195959595959597,6587.0,-307.0,73478.45073443858,203.15593354437797
4388,954,5.040565177757521,18.0,1.870997971384295,128,161,5342,4.5947643979057595,1195.0,-25.0,1481.190399709107,389.623322368331
