num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,label
8747.0,2130.0,4.979078541214131,16.0,2.4049597054324794,486.0,575.0,10877.0,1
10420.0,1819.0,4.731957773512476,17.0,1.8811204154468104,272.0,413.0,12239.0,1
14753.0,3016.0,4.926794550260964,16.0,1.9271793044400929,411.0,676.0,17769.0,1
315.0,41.0,5.158730158730159,12.0,1.6941200760122035,9.0,31.0,356.0,0
274.0,59.0,6.733576642335766,15.0,3.0070180047053765,13.0,43.0,333.0,0
11438.0,2046.0,4.6302675292883375,17.0,1.5448474727476942,370.0,1177.0,13484.0,1
3564.0,551.0,5.082772166105499,15.0,2.0979508875966,55.0,251.0,4115.0,0
1623.0,381.0,5.014171287738756,15.0,1.6293431576289843,110.0,250.0,2004.0,1
43780.0,6371.0,5.027912288716309,22.0,2.0803519222042746,1065.0,1673.0,50151.0,1
12211.0,2135.0,4.196298419457866,13.0,1.5217278917864034,475.0,670.0,14346.0,1
1570.0,200.0,5.034394904458599,13.0,1.7906591810417734,26.0,41.0,1770.0,0
5246.0,625.0,5.475409836065574,18.0,1.5664423041871087,118.0,214.0,5871.0,0
6449.0,782.0,4.704760427973329,17.0,1.9927712382691487,99.0,296.0,7231.0,1
32822.0,5519.0,4.727164706599233,17.0,1.845518874666645,892.0,1697.0,38341.0,1
46858.0,1604.0,3.966131717102736,16.0,1.3121830933304126,321.0,536.0,48462.0,1
10231.0,1780.0,4.806666015052292,17.0,1.714598509235183,271.0,563.0,12011.0,1
268.0,45.0,6.514925373134329,22.0,3.0154702477932616,6.0,38.0,313.0,0
8521.0,1403.0,5.586316160075109,19.0,1.8339329307890853,347.0,982.0,9924.0,1
39225.0,636.0,4.520713830465264,21.0,1.2439110591510618,93.0,423.0,39861.0,1
2426.0,304.0,5.933223413025557,14.0,2.0499916748177265,49.0,137.0,2730.0,0
254.0,35.0,6.165354330708661,15.0,2.9637276472987755,8.0,25.0,289.0,0
2350.0,435.0,5.329787234042553,15.0,1.7849745088610758,132.0,287.0,2785.0,1
4978.0,460.0,4.629971876255524,16.0,1.581863370456761,74.0,106.0,5438.0,0
928.0,119.0,5.663793103448276,15.0,2.2164897905644807,34.0,65.0,1047.0,0
9897.0,1477.0,4.772456299888855,23.0,1.671990232480841,286.0,408.0,11374.0,1
487.0,80.0,4.989733059548255,14.0,1.4235830271214596,24.0,53.0,567.0,0
216.0,107.0,5.023148148148148,10.0,0.904935692567022,12.0,95.0,323.0,0
13946.0,1866.0,4.62971461350925,21.0,1.7245796945674108,420.0,795.0,15812.0,1
2252.0,395.0,5.959591474245116,18.0,2.8264893607868653,65.0,98.0,2647.0,0
8023.0,1060.0,4.821014583073663,16.0,1.6931862975252037,167.0,388.0,9083.0,1
8901.0,23094.0,6.151893045725199,14.0,1.6810849411260953,2692.0,3170.0,31995.0,1
42497.0,3612.0,4.353248464597501,21.0,1.25146250936489,1634.0,1675.0,46109.0,1
21846.0,2139.0,4.944474961091276,15.0,1.4938864724092324,495.0,869.0,23985.0,1
1483.0,240.0,5.363452461227242,19.0,1.851007839670301,47.0,187.0,1723.0,0
